trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dAge star/dXUVEngleMidLateA star/dXUVEngleMidLateB star/dXUVEngleMidLateC star/dXUVEngleMidLateD vpl/dStopTime 
rand_384 -1.645961 -1.119869 0.005286 -1.628967 0.192858 4335637.214124 -0.349744 -2.912170 -1.912879 0.366465 7716836925.454792 
rand_385 -1.684673 -1.108907 0.008727 -1.628889 0.195558 4796642.405364 -0.163238 -2.779276 -1.785038 0.320432 7436836404.704772 
rand_386 -1.666224 -1.094689 0.003260 -1.628920 0.183016 5650673.974681 -0.217897 -2.873464 -1.804489 0.343328 7442536640.107062 
rand_387 -1.659971 -1.134073 0.012129 -1.628930 0.191590 6769211.008114 -0.044717 -3.171744 -1.758589 0.283521 6703271896.753629 
rand_388 -1.637029 -1.136876 0.000283 -1.628973 0.197322 3998816.784506 -0.158535 -2.976399 -1.202873 0.185179 6692023167.608823 
rand_389 -1.649194 -1.128023 0.006717 -1.628940 0.184003 6094240.742104 -0.108046 -2.376035 -2.493183 0.375124 7270746437.192719 
rand_390 -1.690718 -1.153311 0.006086 -1.628881 0.191934 5326700.235316 -0.151596 -3.058502 -2.104837 0.352933 7266978702.635051 
rand_391 -1.665372 -1.125238 0.004704 -1.628930 0.192046 4172667.835361 -0.340271 -2.598737 -1.363520 0.369087 6515374043.212294 
rand_392 -1.673513 -1.132420 0.003319 -1.628931 0.197592 5689802.155216 -0.226743 -2.979789 -1.414543 0.356355 6627744411.846201 
rand_393 -1.659816 -1.090685 0.005451 -1.628900 0.189906 4957417.497188 -0.089679 -3.755281 -1.822965 0.287468 7663567740.699771 
rand_394 -1.631425 -1.124725 0.000598 -1.628977 0.184529 6330515.723605 -0.176065 -2.614952 -1.743993 0.299748 6485233143.259672 
rand_395 -1.619247 -1.133123 0.000104 -1.628943 0.189497 4137337.599994 -0.163224 -3.051122 -1.529746 0.257768 7258556217.510453 
rand_396 -1.631062 -1.106779 0.005682 -1.628918 0.190496 3252297.139269 -0.095883 -2.911674 -1.841724 0.306694 7269609804.862755 
rand_397 -1.669624 -1.139197 0.001659 -1.628860 0.200311 4687671.810630 -0.086478 -2.369478 -1.961792 0.258761 6542441691.609497 
rand_398 -1.649762 -1.138677 0.002577 -1.628907 0.201285 3954307.966443 -0.131947 -3.003890 -2.021001 0.325059 7492003663.893272 
rand_399 -1.651450 -1.110130 0.004078 -1.628957 0.192873 4433705.187852 -0.106671 -2.621189 -1.939323 0.298278 7767668716.933327 
rand_400 -1.653540 -1.145002 0.003583 -1.628923 0.202888 5213948.262837 -0.190998 -2.908652 -1.874542 0.285831 6687922833.532199 
rand_401 -1.627400 -1.115517 0.006198 -1.628935 0.193040 4675682.199205 -0.248581 -2.768042 -2.051631 0.374039 6653893160.875742 
rand_402 -1.683232 -1.152688 0.002140 -1.628936 0.199060 3619570.579336 -0.183178 -3.115556 -1.546058 0.315922 7496940608.029946 
rand_403 -1.657870 -1.111479 0.001833 -1.628936 0.206497 3676327.735550 -0.221076 -2.152089 -1.386753 0.206031 7335467982.745884 
rand_404 -1.670189 -1.101358 0.006499 -1.628929 0.199444 7491811.025925 -0.159784 -2.993586 -1.671317 0.236265 6677834238.248220 
rand_405 -1.695170 -1.124133 0.001438 -1.628965 0.197947 4612235.400298 -0.088344 -2.881407 -1.697370 0.205634 7891478017.782043 
rand_406 -1.641352 -1.088128 0.007612 -1.628910 0.193368 6130651.634678 -0.130176 -3.699317 -1.803810 0.284742 7057186369.851956 
rand_407 -1.675311 -1.155304 0.000903 -1.628938 0.193106 5207714.699639 -0.156009 -3.236621 -1.362753 0.267848 7699820362.611770 
rand_408 -1.654704 -1.156245 0.001640 -1.628954 0.189067 8695193.693024 -0.245519 -3.220141 -2.118745 0.359972 7652804647.422631 
rand_409 -1.683014 -1.176830 0.000874 -1.628976 0.191510 4483729.937075 -0.101688 -3.455569 -1.529977 0.276337 7278799292.702945 
rand_410 -1.634729 -1.124556 0.006587 -1.628938 0.187673 3782537.399201 -0.232790 -2.811213 -1.418600 0.263404 7378605412.120117 
rand_411 -1.639668 -1.129864 0.003952 -1.628936 0.190261 4945281.903242 -0.066835 -2.879225 -1.422931 0.241878 7107941198.969000 
rand_412 -1.675175 -1.154433 0.009291 -1.628894 0.188404 5815004.271254 -0.303367 -3.437956 -1.604600 0.368257 6969461042.561329 
rand_413 -1.605813 -1.093038 0.000984 -1.628918 0.194206 5238866.068449 -0.118232 -3.138427 -2.097939 0.340502 7278930883.043924 
rand_414 -1.674787 -1.138338 0.002329 -1.628936 0.191530 4066187.416748 -0.150370 -3.099022 -1.239286 0.263368 7775786472.589681 
rand_415 -1.678527 -1.129059 0.003715 -1.628952 0.199609 7461359.959509 -0.129935 -2.938429 -1.825529 0.327201 7964128877.535007 
rand_416 -1.662525 -1.149313 0.009235 -1.628952 0.191721 3960319.708502 -0.126374 -3.133009 -1.820487 0.376883 7832138006.090160 
rand_417 -1.677853 -1.134766 0.008834 -1.628927 0.206912 5081687.211032 -0.161336 -2.949788 -1.468797 0.274568 8166232671.675722 
rand_418 -1.649190 -1.170369 0.002380 -1.628953 0.195322 5650834.101237 -0.131878 -2.716177 -1.837683 0.309434 6673803162.126298 
rand_419 -1.622350 -1.135354 0.008044 -1.628978 0.197596 5113949.560640 -0.102721 -2.847603 -1.998467 0.289329 7036325760.011324 
rand_420 -1.679421 -1.119763 0.003926 -1.628926 0.197685 6435514.579657 -0.089376 -3.192664 -2.206341 0.283728 7536985537.755571 
rand_421 -1.637808 -1.125714 0.002797 -1.628926 0.198473 6468795.897926 -0.092615 -2.936177 -2.143325 0.306553 7514361468.203458 
rand_422 -1.634013 -1.124073 0.003585 -1.628913 0.196315 5048843.859159 -0.254673 -3.245211 -1.606920 0.311215 6663603306.192611 
rand_423 -1.642262 -1.133363 0.001326 -1.628929 0.200187 4892142.401069 -0.161272 -3.285616 -2.204877 0.298766 7200939898.827281 
rand_424 -1.673673 -1.120791 0.000473 -1.628931 0.189865 2777096.011421 -0.105188 -2.527222 -1.277347 0.249159 6555240848.503688 
rand_425 -1.613269 -1.144884 0.004383 -1.628939 0.196527 5438631.374811 -0.092033 -3.071674 -2.242598 0.380197 7280258801.198656 
rand_426 -1.648595 -1.149998 0.002920 -1.628890 0.189104 5199231.788194 -0.149901 -2.738192 -1.695506 0.260116 7088899408.151196 
rand_427 -1.671206 -1.130990 0.000984 -1.629001 0.194217 6171802.737873 -0.245598 -2.624044 -1.183912 0.307861 7121396585.778660 
rand_428 -1.641465 -1.131697 0.004556 -1.628901 0.195363 6984054.821397 -0.224415 -3.210339 -1.607474 0.300716 7180171894.203312 
rand_429 -1.641232 -1.127818 0.002528 -1.628952 0.193500 4301161.883418 -0.117661 -2.989748 -1.688672 0.235262 6724895834.885658 
rand_430 -1.664532 -1.094090 0.012439 -1.628930 0.189798 4069099.686973 -0.125652 -3.161319 -1.142192 0.275408 7015191368.502275 
rand_431 -1.646239 -1.133432 0.007724 -1.628940 0.203593 6105390.491117 -0.247167 -3.160564 -1.382896 0.341625 6866835293.444537 
rand_432 -1.637224 -1.112875 0.000808 -1.628933 0.188502 4054863.295598 -0.159803 -2.686216 -1.600751 0.290616 7809814414.745434 
rand_433 -1.700856 -1.127431 0.007337 -1.628919 0.201920 4014286.013005 -0.036008 -2.613552 -2.518340 0.300074 7445226686.234016 
rand_434 -1.682745 -1.124524 0.011950 -1.628898 0.193869 5838066.128960 -0.213300 -3.069567 -1.395791 0.300486 6530941655.046007 
rand_435 -1.635118 -1.165619 0.005862 -1.628935 0.192789 6214334.735604 -0.101764 -3.395563 -1.293405 0.156039 6931321209.461328 
rand_436 -1.665620 -1.130018 0.003617 -1.628949 0.190780 6385046.351012 -0.247005 -2.366748 -1.438220 0.243627 6685897030.956882 
rand_437 -1.678370 -1.095431 0.001171 -1.628922 0.191843 5990413.988967 -0.108865 -2.966528 -1.970172 0.293515 7632534053.930617 
rand_438 -1.625022 -1.131076 0.003861 -1.628900 0.187998 4557963.428510 -0.228828 -3.065593 -1.309073 0.268983 7345006307.583022 
rand_439 -1.668338 -1.152773 0.005643 -1.628962 0.189036 6133047.595219 -0.226048 -2.945502 -1.862447 0.345763 7361920415.672783 
rand_440 -1.658537 -1.131987 0.002752 -1.628867 0.193846 4269844.456583 -0.011629 -3.009476 -2.548560 0.296091 6688465284.729501 
rand_441 -1.674494 -1.190489 0.002704 -1.628905 0.193291 6086570.113172 -0.248857 -2.988392 -1.385601 0.335362 6715883917.364807 
rand_442 -1.648787 -1.133133 0.002915 -1.628933 0.199266 6613944.881477 -0.139050 -2.528803 -2.377128 0.312931 7270684432.529536 
rand_443 -1.650538 -1.133368 0.002361 -1.628909 0.193437 4012255.941981 -0.213737 -3.330053 -0.990212 0.366815 7429522800.453015 
rand_444 -1.678771 -1.151252 0.003052 -1.628926 0.201337 4282774.422397 -0.234214 -2.909525 -1.656475 0.367119 6701060324.214092 
rand_445 -1.624339 -1.112202 0.001019 -1.628913 0.193992 3461173.925351 -0.234058 -2.907309 -1.675136 0.362024 7145767141.231419 
rand_446 -1.689632 -1.141429 0.002019 -1.628912 0.192959 5923793.779496 -0.199336 -2.898338 -1.696485 0.326844 7172353292.820689 
rand_447 -1.654261 -1.159857 0.004094 -1.628923 0.184611 5225054.225724 -0.256258 -2.865327 -1.736150 0.354604 6578932439.308515 
rand_448 -1.680159 -1.108154 0.000418 -1.628924 0.193105 5161704.485025 -0.168343 -2.905006 -1.789314 0.314974 7007829715.946348 
rand_449 -1.654376 -1.112808 0.005398 -1.628935 0.200193 6914337.587400 -0.228384 -2.100566 -1.601056 0.394459 6766000160.430185 
rand_450 -1.681214 -1.091654 0.012988 -1.628936 0.204744 3627865.397253 -0.081605 -2.909938 -1.445356 0.247516 6797877474.033837 
rand_451 -1.675468 -1.156642 0.007073 -1.628961 0.193793 5611282.319175 -0.047515 -2.696592 -1.768055 0.271429 6980445131.787647 
rand_452 -1.643827 -1.119479 0.001044 -1.628987 0.196926 3721417.231365 -0.214568 -2.501002 -2.154247 0.332037 6879459792.888475 
rand_453 -1.658361 -1.125189 0.004168 -1.628935 0.198230 4992143.691548 -0.097767 -2.443605 -2.159038 0.313548 6873975849.229486 
rand_454 -1.680311 -1.117309 0.009714 -1.628946 0.188038 2929222.733612 -0.258586 -3.390654 -2.097888 0.358771 7152144504.024229 
rand_455 -1.664356 -1.118498 0.007815 -1.628906 0.193500 5081308.271132 -0.149803 -3.206098 -1.190295 0.181142 7225204038.153912 
rand_456 -1.640286 -1.107351 0.002333 -1.628929 0.194349 6452823.625443 -0.235198 -2.772294 -1.333185 0.316748 7880530308.860060 
rand_457 -1.653937 -1.128952 0.005156 -1.628900 0.200151 5982685.406086 -0.090302 -3.068892 -1.686766 0.276891 6673641946.492861 
rand_458 -1.680331 -1.120077 0.008224 -1.628952 0.201910 3664012.650470 -0.171969 -2.491364 -1.992378 0.371077 6773877853.760885 
rand_459 -1.656013 -1.112358 0.005273 -1.628940 0.192511 5961674.629615 -0.126715 -2.826824 -1.777551 0.237624 7561377144.934707 
rand_460 -1.666634 -1.125346 0.000869 -1.628915 0.190094 5635825.969224 -0.031050 -2.740384 -1.603626 0.273856 6979715051.546544 
rand_461 -1.658326 -1.128581 0.006669 -1.628876 0.195371 4550113.119204 -0.202686 -2.513462 -1.154623 0.209096 7485486610.612664 
rand_462 -1.652461 -1.129732 0.007608 -1.628919 0.200060 5597159.339432 -0.154415 -3.357243 -1.254899 0.288772 6805534441.277149 
rand_463 -1.673663 -1.133973 0.000449 -1.628977 0.199054 4432882.862533 -0.190737 -3.138466 -1.786134 0.354325 7434376110.279034 
rand_464 -1.650710 -1.139088 0.008619 -1.628920 0.198367 4327028.210248 -0.187579 -2.688899 -1.900060 0.305044 7189399649.150164 
rand_465 -1.631382 -1.125591 0.003749 -1.628939 0.197569 5104808.802557 -0.062828 -2.818723 -1.697024 0.246646 7489426002.826262 
rand_466 -1.667563 -1.100224 0.006990 -1.628932 0.201787 3406094.986378 -0.065535 -2.973282 -1.134535 0.086840 7300047077.391355 
rand_467 -1.659836 -1.145960 0.007605 -1.628932 0.197463 6177029.320092 -0.101687 -2.939373 -1.543509 0.280998 6825893321.444292 
rand_468 -1.643026 -1.156998 0.009453 -1.628905 0.195928 5127945.248994 -0.109743 -2.772471 -1.547255 0.228923 6749012509.837650 
rand_469 -1.643617 -1.132861 0.002434 -1.628914 0.202500 4010886.653612 -0.106943 -3.242904 -1.056398 0.177631 7024179871.125252 
rand_470 -1.650456 -1.144092 0.001322 -1.628930 0.190133 4194880.191134 -0.021944 -2.712747 -1.967322 0.216830 6796119345.098010 
rand_471 -1.624244 -1.130100 0.001848 -1.628938 0.193560 4657227.627502 -0.228452 -3.416695 -1.295816 0.354235 7024767512.849422 
rand_472 -1.657908 -1.146738 0.008402 -1.628894 0.196342 4860278.893160 -0.206567 -2.785293 -1.732713 0.349814 6835970138.776659 
rand_473 -1.657386 -1.128770 0.001258 -1.628922 0.190678 4794806.736815 -0.103604 -3.282581 -2.042722 0.318741 6824570503.153529 
rand_474 -1.665614 -1.113209 0.001032 -1.628965 0.192616 4544421.797468 -0.106812 -1.971281 -2.219194 0.384545 6911417607.992063 
rand_475 -1.664409 -1.132368 0.005515 -1.628938 0.190166 5459959.735378 -0.088386 -3.282124 -1.777450 0.344840 6885998879.299164 
rand_476 -1.664041 -1.138524 0.011867 -1.628888 0.193939 6569834.861415 -0.185365 -2.682800 -2.017273 0.368438 7035993061.175577 
rand_477 -1.620552 -1.132678 0.000639 -1.628900 0.201306 5705240.632546 -0.357578 -3.439078 -1.608454 0.353097 7395780317.052704 
rand_478 -1.638005 -1.097414 0.007231 -1.628947 0.196344 4266816.426372 -0.129908 -3.233423 -1.342837 0.241223 6579261029.809672 
rand_479 -1.645830 -1.126410 0.001620 -1.628948 0.183710 6152802.943455 -0.089592 -3.045463 -1.788487 0.274044 7029291275.165770 
rand_480 -1.639729 -1.143589 0.001248 -1.628924 0.197798 4710108.490032 0.016228 -3.005041 -2.047708 0.240608 7109259670.495527 
rand_481 -1.667347 -1.160833 0.007045 -1.628957 0.189899 4951289.700464 -0.113859 -3.111760 -1.937924 0.375541 6602626669.173291 
rand_482 -1.649231 -1.127464 0.001557 -1.628921 0.196434 5176930.903029 -0.165828 -3.123562 -1.469755 0.285686 7069672909.346823 
rand_483 -1.628847 -1.124842 0.004421 -1.628952 0.191554 5231340.534719 -0.188780 -2.887914 -1.790560 0.360691 7786654351.741156 
rand_484 -1.685747 -1.129862 0.005754 -1.628902 0.197230 5524780.549368 -0.184594 -2.714435 -1.556837 0.266319 6407423216.244163 
rand_485 -1.636572 -1.136788 0.004672 -1.628948 0.191963 5491036.369053 -0.297785 -2.737864 -1.477299 0.349579 6736962210.584593 
rand_486 -1.674729 -1.126869 0.003593 -1.628937 0.194456 4092025.728636 -0.269107 -3.272310 -1.327329 0.354643 7096239180.869788 
rand_487 -1.649493 -1.137345 0.005202 -1.628928 0.192331 5179978.446856 -0.122921 -3.270287 -1.810228 0.224506 7463795599.203269 
rand_488 -1.650355 -1.139761 0.004659 -1.628947 0.194140 5707610.931511 -0.138446 -2.820861 -1.837696 0.332462 7364994790.876835 
rand_489 -1.684452 -1.127150 0.002856 -1.628940 0.196893 5314653.796845 -0.165887 -3.015594 -1.865864 0.296767 6517209606.264058 
rand_490 -1.669002 -1.124162 0.003778 -1.628912 0.198499 5213342.257991 -0.065737 -3.175730 -1.152993 0.205339 7506084080.120312 
rand_491 -1.693289 -1.127375 0.003205 -1.628961 0.193887 5787270.911790 -0.043859 -2.733112 -1.334198 0.187031 6894290508.067506 
rand_492 -1.616757 -1.126226 0.004824 -1.628926 0.197752 5178719.009439 -0.138123 -3.039804 -1.903800 0.341044 7239414664.305847 
rand_493 -1.646983 -1.106225 0.001952 -1.628920 0.196115 4530810.406535 -0.111950 -3.281528 -1.572841 0.327201 6867947235.759962 
rand_494 -1.657896 -1.113295 0.008596 -1.628928 0.196078 5515267.890887 -0.174717 -3.294937 -1.418496 0.315525 6977697822.148789 
rand_495 -1.632878 -1.136123 0.002197 -1.628921 0.191481 3694169.751482 -0.173622 -3.094661 -1.355913 0.227645 7415116903.669074 
rand_496 -1.622476 -1.118856 0.001110 -1.628988 0.188956 5598993.478445 -0.158160 -3.132254 -1.657355 0.308819 7405673711.404768 
rand_497 -1.655281 -1.129686 0.004471 -1.628943 0.189335 6260267.758998 -0.122074 -2.802338 -2.011969 0.322905 8503698546.413636 
rand_498 -1.656189 -1.142322 0.000809 -1.628981 0.197230 3012803.269094 -0.115497 -2.936067 -1.570207 0.397188 7185319530.608398 
rand_499 -1.682929 -1.102178 0.005935 -1.628885 0.193797 3885613.420016 -0.115444 -2.616863 -2.321314 0.377012 6995029375.054520 
