trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dSatXUVFrac star/dSatXUVTime star/dXUVBeta vpl/dStopTime 
rand_467 -1.640684 -1.160503 0.000884 -1.628909 0.194045 0.000778 664159267.370654 1.204389 7505358158.734477 
rand_468 -1.680215 -1.140238 0.006062 -1.628974 0.193619 0.000517 2076374880.379505 1.555393 6787222200.152847 
rand_469 -1.644661 -1.128991 0.005841 -1.628939 0.193970 0.001061 1473703785.062389 1.686108 8784523086.257439 
rand_470 -1.678057 -1.130023 0.005343 -1.628921 0.199110 0.000633 926331428.236675 0.932470 7721388491.251845 
rand_471 -1.687620 -1.155819 0.003388 -1.628916 0.182039 0.000518 1261785111.834865 1.179655 8052436447.641059 
rand_472 -1.686552 -1.151780 0.007655 -1.628938 0.186733 0.000169 2237951632.501890 0.617658 7806480733.519257 
rand_473 -1.608060 -1.124181 0.000209 -1.628948 0.193720 0.001669 307008809.544886 0.821041 7279748743.781535 
rand_474 -1.678569 -1.113452 0.007696 -1.628929 0.192098 0.001089 873835045.472751 1.217744 8006135860.298743 
rand_475 -1.644107 -1.134139 0.006242 -1.628960 0.197732 0.001111 986950367.834027 1.391289 7942943432.828736 
rand_476 -1.695839 -1.135141 0.000061 -1.628901 0.190819 0.000635 1377134404.549110 1.319096 7100811713.828196 
rand_477 -1.627365 -1.111374 0.006637 -1.628881 0.199564 0.000502 1750895080.832593 1.236393 7154569651.335092 
rand_478 -1.651972 -1.145441 0.008447 -1.628920 0.196265 0.000425 959365013.326198 0.877237 7028146529.513654 
rand_479 -1.653698 -1.095459 0.003276 -1.628937 0.193158 0.001245 493758581.646658 1.022975 7485704519.131367 
rand_480 -1.650482 -1.156905 0.004811 -1.628906 0.189865 0.001297 611178946.493107 1.327773 6288755937.061569 
rand_481 -1.647948 -1.109030 0.007222 -1.628910 0.187000 0.000460 1502047696.816017 1.034630 7527383668.579375 
rand_482 -1.641391 -1.119217 0.000188 -1.628938 0.190638 0.000714 542826547.286066 1.057053 6198124155.387843 
rand_483 -1.673779 -1.081798 0.012653 -1.628932 0.190908 0.000615 2004478020.089267 1.444513 7715325541.923729 
rand_484 -1.675125 -1.152423 0.008094 -1.628947 0.191958 0.001308 770928442.116419 1.420294 6970461279.561376 
rand_485 -1.658868 -1.176680 0.005214 -1.628927 0.182914 0.001032 1271502238.451310 1.467980 11239907725.923454 
rand_486 -1.644258 -1.105011 0.002913 -1.628923 0.197210 0.001172 903625195.638673 1.462419 7421995318.255946 
rand_487 -1.661533 -1.159427 0.005093 -1.628952 0.201452 0.000612 1916777770.894315 1.322969 6167835124.679009 
rand_488 -1.642200 -1.117684 0.002320 -1.628960 0.190199 0.000578 807933494.773802 1.321089 6485961616.254122 
rand_489 -1.645790 -1.106357 0.011633 -1.628967 0.193633 0.000349 1176518122.756858 0.974429 7158256437.052289 
rand_490 -1.664991 -1.122405 0.007706 -1.628920 0.189944 0.000628 625394021.403027 1.399211 5301416431.173559 
rand_491 -1.700185 -1.125356 0.009086 -1.628931 0.199943 0.000757 1519326982.103993 1.461706 5651298389.946874 
rand_492 -1.671581 -1.121981 0.003181 -1.628933 0.199592 0.000875 369828276.275027 0.960645 7203756498.196239 
rand_493 -1.619916 -1.113252 0.001570 -1.628918 0.190155 0.001301 1201524196.740051 1.195987 8092361378.338179 
rand_494 -1.652179 -1.118259 0.000277 -1.628955 0.199586 0.001280 217777483.266510 0.862586 7715274711.303619 
rand_495 -1.674710 -1.154332 0.006407 -1.628960 0.191604 0.001398 176933906.171114 0.939928 7283259980.463124 
rand_496 -1.654235 -1.093500 0.000943 -1.628924 0.202757 0.000679 1581368777.810102 1.702840 8119300775.334578 
rand_497 -1.644437 -1.128978 0.002283 -1.628978 0.193841 0.000391 806134352.375793 1.220499 5778062701.463865 
rand_498 -1.674699 -1.119633 0.005306 -1.628938 0.198874 0.001350 1160115839.873308 1.777015 6643341817.438931 
rand_499 -1.631586 -1.115780 0.000338 -1.628864 0.190209 0.000569 969121590.179051 1.089294 7277292261.838648 
